review_id,product_id,customer_id,rating,review_text,review_date
48,93,18,4,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-01-25T14:20:00
49,93,70,5,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-02-10T08:30:00
50,27,6,4,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-02-02T11:30:00
51,59,76,5,Perfect running shoes. Very comfortable and great support for long runs.,2024-01-22T10:15:00
52,8,82,5,,2024-01-28T09:45:00
53,62,87,5,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-02-06T10:00:00
54,58,65,4,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-02-06T10:00:00
55,44,48,4,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-01-20T15:30:00
56,44,54,4,Beautiful leather bag with excellent craftsmanship. Fits my 15-inch laptop perfectly.,2024-01-22T10:15:00
57,55,98,5,Great tasting protein powder! Mixes well and good value for money.,2024-02-05T13:15:00
58,20,89,4,Best smartwatch I've owned. All features work perfectly and it looks great!,2024-01-25T14:20:00
59,94,84,4,Good desk lamp. The USB port is very handy for charging devices.,2024-01-20T15:30:00
60,22,42,5,Very good headphones for the price. Noise cancellation works well on flights.,2024-02-10T08:30:00
61,39,85,4,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-02-15T09:20:00
62,9,97,5,,2024-01-30T16:00:00
63,74,16,4,Best smartwatch I've owned. All features work perfectly and it looks great!,2024-02-10T08:30:00
64,20,46,4,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-01-30T16:00:00
65,15,38,5,Good desk lamp. The USB port is very handy for charging devices.,2024-02-14T12:00:00
66,48,84,4,Best smartwatch I've owned. All features work perfectly and it looks great!,2024-02-14T12:00:00
67,93,79,4,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-02-10T08:30:00
68,89,25,4,Good desk lamp. The USB port is very handy for charging devices.,2024-02-06T10:00:00
69,52,50,5,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-02-14T12:00:00
70,23,72,4,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-01-22T10:15:00
71,81,27,5,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-02-14T12:00:00
72,77,41,4,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-01-25T14:20:00
73,21,10,5,Great tasting protein powder! Mixes well and good value for money.,2024-02-02T11:30:00
74,18,23,5,,2024-02-10T08:30:00
75,49,21,5,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-01-22T10:15:00
76,57,46,5,Very good headphones for the price. Noise cancellation works well on flights.,2024-02-06T10:00:00
77,18,52,4,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-01-20T15:30:00
78,45,77,5,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-02-12T14:45:00
79,46,57,5,Beautiful leather bag with excellent craftsmanship. Fits my 15-inch laptop perfectly.,2024-01-30T16:00:00
80,12,65,4,Very good headphones for the price. Noise cancellation works well on flights.,2024-02-06T10:00:00
81,50,83,4,Great tasting protein powder! Mixes well and good value for money.,2024-02-02T11:30:00
82,21,55,5,Beautiful leather bag with excellent craftsmanship. Fits my 15-inch laptop perfectly.,2024-02-06T10:00:00
83,68,92,5,These shoes are incredible! My running times have improved and no more foot pain.,2024-02-06T10:00:00
84,62,69,4,Best coffee I've had! The flavor is rich and smooth. Will definitely buy again.,2024-02-14T12:00:00
85,13,76,5,Good water bottle keeps drinks cold as promised. Only issue is it's a bit heavy when full.,2024-01-28T09:45:00
86,57,66,4,Beautiful leather bag with excellent craftsmanship. Fits my 15-inch laptop perfectly.,2024-01-25T14:20:00
87,28,61,5,Great tasting protein powder! Mixes well and good value for money.,2024-02-14T12:00:00
88,81,62,5,These shoes are incredible! My running times have improved and no more foot pain.,2024-02-06T10:00:00
89,75,21,4,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-01-28T09:45:00
90,42,76,4,These shoes are incredible! My running times have improved and no more foot pain.,2024-01-30T16:00:00
91,65,20,4,Very good headphones for the price. Noise cancellation works well on flights.,2024-02-14T12:00:00
92,19,14,5,Good desk lamp. The USB port is very handy for charging devices.,2024-02-14T12:00:00
93,67,60,4,Good desk lamp. The USB port is very handy for charging devices.,2024-02-10T08:30:00
94,37,15,4,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-02-06T10:00:00
95,43,75,4,Perfect running shoes. Very comfortable and great support for long runs.,2024-02-02T11:30:00
96,16,79,4,Good desk lamp. The USB port is very handy for charging devices.,2024-01-22T10:15:00
97,82,41,4,Nice yoga mat with good cushioning. The carrying strap is very convenient.,2024-01-22T10:15:00
98,64,3,5,Excellent headphones! The sound quality is amazing and battery life is exactly as advertised.,2024-02-12T14:45:00
99,55,84,5,Good desk lamp. The USB port is very handy for charging devices.,2024-02-14T12:00:00
100,27,57,4,Beautiful mugs! They're the perfect size and the quality is outstanding.,2024-02-06T10:00:00
